"date","companyId","marketCap","price","change","volume","ticker","name","superSectorId","superSector"
07/06/2017,107,817840000.00,6.79,0.15,75200,"RNEW11","Renova",32,"Utilities"
07/06/2017,111,5890000000.00,17.44,0.17,859900,"SMTO3","São Martinho",32,"Utilities"
26/09/2016,126,0,64.28,0.00,200,"TERI3","Tereos",32,"Utilities"
07/06/2017,129,7710000000.00,22.40,-0.09,1712500,"TAEE11","TAESA",32,"Utilities"
07/06/2017,140,2020000000.00,11.64,3.95,1419500,"ELPL4","Eletropaulo",32,"Utilities"
07/06/2017,142,163850000.00,5.05,4.95,300,"AFLU3","Afluente Geração",32,"Utilities"
07/06/2017,4,4440000000.00,17.78,-0.22,267100,"ALUP11","Alupar",32,"Utilities"
07/06/2017,1,245400000.00,3.40,14.41,200,"AFLT3","Afluente Transmissão",32,"Utilities"
07/06/2017,26,3630000000.00,47.00,-0.74,4900,"COCE5","COELCE",32,"Utilities"
07/06/2017,30,6490000000.00,50.09,-0.38,42700,"CGAS5","ComGás",32,"Utilities"
07/06/2017,41,3040000000.00,33.50,-4.03,1000,"GEPA4","Duke",32,"Utilities"
07/06/2017,43,8360000000.00,13.73,0.51,1880700,"ENBR3","EDP",32,"Utilities"
07/06/2017,46,4260000000.00,22.00,0.00,9200,"EKTR4","Elektro",32,"Utilities"
07/06/2017,48,10530000000.00,52.60,0.72,950600,"EQTL3","Equatorial Energia",32,"Utilities"
07/06/2017,73,3950000000.00,19.45,-0.46,1223200,"LIGT3","Light",32,"Utilities"
06/06/2017,151,4460000000.00,45.50,0.00,100,"CBEE3","Ampla",32,"Utilities"
29/09/2016,177,0,13.79,0.09,100,"CASN4","Casan",32,"Utilities"
07/06/2017,179,338800000.00,43.20,-18.98,900,"CEED3","CEEE-D",32,"Utilities"
06/06/2017,180,1060000000.00,110.00,0.00,100,"EEEL3","CEEE-GT",32,"Utilities"
01/06/2017,181,6750000000.00,26.00,0.00,100,"CEGR3","CEG",32,"Utilities"
04/08/2016,185,0,17.50,0.00,0,"CEPE6","Celpe",32,"Utilities"
07/06/2017,187,9650000000.00,7.81,-1.79,3712100,"CMIG4","Cemig",32,"Utilities"
07/06/2017,189,5420000000.00,16.80,-1.49,698800,"CESP6","Cesp",32,"Utilities"
07/06/2017,192,0,13.38,0.52,2796900,"TIET11","AES Tietê",32,"Utilities"
26/05/2017,198,4700000000.00,25.00,0.00,100,"CEEB5","COELBA",32,"Utilities"
07/06/2017,205,4570000000.00,36.27,-0.36,690400,"CSMG3","COPASA",32,"Utilities"
07/06/2017,206,7620000000.00,27.60,0.87,1087600,"CPLE6","COPEL",32,"Utilities"
07/06/2017,210,26790000000.00,26.31,0.04,820300,"CPFE3","CPFL",32,"Utilities"
07/06/2017,211,6380000000.00,12.50,1.36,2500,"CPRE3","CPFL Renováveis",32,"Utilities"
06/04/2017,208,2360000000.00,14.02,0.00,200,"CSRN6","COSERN",32,"Utilities"
07/06/2017,214,10650000000.00,63.98,1.08,481700,"TRPL4","CTEEP",32,"Utilities"
07/06/2017,225,23350000000.00,17.79,-2.98,1232200,"ELET6","Eletrobrás",32,"Utilities"
07/06/2017,226,17980000000.00,13.30,-0.08,892300,"ELET3","ELETROPAR",32,"Utilities"
07/06/2017,227,361340000.00,9.70,0.82,400,"EMAE4","EMAE",32,"Utilities"
07/06/2017,230,7020000000.00,4.29,-5.36,900,"ENGI4","Energisa",32,"Utilities"
07/06/2017,231,3350000000.00,14.00,0.00,10000,"ENEV3","Eneva",32,"Utilities"
07/06/2017,267,1270000000.00,5.86,-1.54,10400,"BSEV3","Biosev",32,"Utilities"
02/06/2017,309,5780000000.00,2.81,0.00,200,"REDE4","Rede Energia",32,"Utilities"
07/06/2017,315,20310000000.00,29.82,-0.34,878800,"SBSP3","Sabesp",32,"Utilities"
07/06/2017,316,5240000000.00,10.42,-0.19,575600,"SAPR4","Sanepar",32,"Utilities"
07/06/2017,336,21840000000.00,33.14,0.97,1040200,"EGIE3","ENGIE",32,"Utilities"
07/06/2017,328,22210000.00,4.36,-3.67,1300,"TOYB4","TECTOY",33,"Consumer Goods"
16/05/2016,329,0,5.00,0.00,0,"TENE5","TEC BLUMENAU",33,"Consumer Goods"
07/06/2017,330,3900000.00,7.76,0.00,1000,"TEKA4","TEKA",33,"Consumer Goods"
04/11/2016,340,0,13.35,-2.62,44900,"VAGR3","Terra Santa Agro",33,"Consumer Goods"
07/06/2017,343,933560000.00,4.86,3.70,6600,"VULC3","Vulcabras",33,"Consumer Goods"
06/06/2017,311,12520000.00,2.94,0.00,300,"TXRX4","Têxtil Renauxview",33,"Consumer Goods"
07/06/2017,318,87240000.00,2.21,0.45,1000,"CTSA4","SANTANENSE",33,"Consumer Goods"
01/03/2017,320,0,0.09,0.00,15000,"SJOS4","Fiação e Tecelagem São José",33,"Consumer Goods"
01/03/2017,322,0,0.41,0.00,1000,"SCLO4","Schlosser",33,"Consumer Goods"
07/06/2017,323,386930000.00,6.03,1.00,124800,"SHUL4","Schulz",33,"Consumer Goods"
22/12/2016,325,20760000.00,8.21,0.00,200,"SPRI5","Springer",33,"Consumer Goods"
07/06/2017,326,497000000.00,9.92,0.20,53200,"SGPS3","Springs",33,"Consumer Goods"
07/06/2017,260,2720000.00,2.37,2.95,5800,"JBDU4","JB Duarte",33,"Consumer Goods"
15/05/2017,263,211640000.00,20.00,0.00,100,"JOPA4","Josapar",33,"Consumer Goods"
07/06/2017,264,28850000.00,4.70,-1.06,800,"CTKA4","Karsten",33,"Consumer Goods"
07/06/2017,256,2240000000.00,16.27,-0.43,439000,"MYPK3","Iochpe-Maxion",33,"Consumer Goods"
07/06/2017,232,200620000.00,12.00,3.42,3300,"ESTR4","Estrela",33,"Consumer Goods"
02/06/2017,239,2900000.00,4.00,0.00,100,"FBMC4","Fibam",33,"Consumer Goods"
06/06/2017,236,53890000.00,10.32,0.00,3000,"BAUH4","Excelsior",33,"Consumer Goods"
07/06/2017,243,14750000.00,1.22,-3.28,16400,"IGBR3","IGB",33,"Consumer Goods"
07/06/2017,246,6270000000.00,97.89,2.67,75300,"GUAR4","Guararapes",33,"Consumer Goods"
07/06/2017,247,32370000.00,2.79,-2.51,19000,"HAGA4","HAGA",33,"Consumer Goods"
23/05/2017,249,5020000.00,9.87,0.00,400,"HETA4","Hércules",33,"Consumer Goods"
07/06/2017,276,2500000000.00,19.37,0.77,340900,"LEVE3","Mahle Metal Leve",33,"Consumer Goods"
07/06/2017,279,4070000000.00,6.63,-1.06,1629000,"MRFG3","Marfrig Global Foods",33,"Consumer Goods"
26/05/2017,284,13270000.00,22.76,0.00,400,"RSUL4","Metelurgica Riosulense",33,"Consumer Goods"
07/06/2017,288,19170000.00,2.85,-5.26,1000,"MNPR3","Minupar",33,"Consumer Goods"
07/06/2017,289,136200000.00,295.00,1.69,14,"BMKS3","Monark",33,"Consumer Goods"
31/05/2017,293,203680000.00,15.00,0.00,1300,"NAFG3","Nadir Figueiredo",33,"Consumer Goods"
01/06/2017,300,26990000.00,7.00,0.00,800,"CAMB4","Cambuci",33,"Consumer Goods"
07/06/2017,303,135970000.00,2.91,-2.75,5800,"PTNT4","Pettenati",33,"Consumer Goods"
07/03/2017,229,57000000.00,30.00,0.00,500,"ECPR3","Encopar",33,"Consumer Goods"
30/12/2015,219,0,1.01,0.00,0,"DHBI4","DHB",33,"Consumer Goods"
07/06/2017,220,262030000.00,4.98,-13.05,3800,"DOHL4","Dohler",33,"Consumer Goods"
07/06/2017,209,174630000.00,5.78,-1.38,31700,"CTNM4","Coteminas",33,"Consumer Goods"
01/06/2017,195,31000000.00,3.10,0.00,200,"CEDO4","Cedro Cachoeira",33,"Consumer Goods"
06/06/2017,148,5490000000.00,11.85,0.00,400,"ALPA3","Alpargatas",33,"Consumer Goods"
07/06/2017,149,295840000000.00,19.07,-1.21,12360300,"ABEV3","AMBEV",33,"Consumer Goods"
20/12/2016,173,0,7.62,0.00,2500,"BMTO4","Brasmotor",33,"Consumer Goods"
24/09/2013,72,11240000000.00,0.28,0.00,0,"MILK33","LAEP",33,"Consumer Goods"
07/06/2017,76,17780000000.00,51.08,2.70,371900,"MDIA3","M Dias Branco",33,"Consumer Goods"
07/06/2017,62,7790000000.00,26.05,-0.58,258100,"GRND3","Grendene",33,"Consumer Goods"
07/06/2017,64,18690000000.00,29.45,1.19,1585300,"HYPE3","Hypermarcas",33,"Consumer Goods"
07/06/2017,67,21900000000.00,7.90,-2.53,21876400,"JBSS3","JBS",33,"Consumer Goods"
07/06/2017,27,3400000000.00,21.38,-1.26,371300,"HGTX3","Hering",33,"Consumer Goods"
07/06/2017,20,689150000.00,12.65,0.24,52400,"AGRO3","Brasilagro",33,"Consumer Goods"
07/06/2017,21,34480000000.00,43.42,-0.62,2122100,"BRFS3","BRF",33,"Consumer Goods"
